X,Y,dX_m,dY_m,Magnitude_m,YearPair
747285,997575,60,390,394.588393138977,2001-2003
747315,997575,30,390,391.152144312159,2001-2003
747345,997575,0,390,390,2001-2003
747375,997575,120,360,379.473319220205,2001-2003
747405,997575,90,360,371.079506305589,2001-2003
747435,997575,60,360,364.965751817893,2001-2003
747465,997575,30,360,361.247837363769,2001-2003
747495,997575,0,360,360,2001-2003
747525,997575,120,330,351.140997321589,2001-2003
747555,997575,90,330,342.052627529741,2001-2003
747585,997575,60,330,335.410196624968,2001-2003
747615,997575,30,330,331.360830515618,2001-2003
747645,997575,0,330,330,2001-2003
747675,997545,0,300,300,2001-2003
747705,997545,0,300,300,2001-2003
747735,997545,210,210,296.98484809835,2001-2003
747765,997545,180,210,276.586333718787,2001-2003
747795,997545,150,210,258.069758011279,2001-2003
747825,997515,120,180,216.333076527839,2001-2003
747855,997515,90,180,201.246117974981,2001-2003
747885,997515,60,180,189.736659610103,2001-2003
747915,997515,30,180,182.482875908947,2001-2003
747945,997485,0,150,150,2001-2003
747975,997455,0,120,120,2001-2003
748005,997455,0,120,120,2001-2003
